	flux
rxn00199_c0	0.0
rxn00248_c0	100.39535927325987
rxn00256_c0	1.9536620674041236
rxn00285_c0	-54.835789394139
rxn00288_c0	58.86595416360196
rxn00441_c0	0.0
rxn00799_c0	-2.307022914545568
rxn13974_c0	89.04695457925199
rxn14048_c0	-55.274599650859614
rxn00974_c0	2.356289625954446
rxn01387_c0	0.0
rxn01388_c0	-2.356289625954446
rxn01872_c0	0.0
rxn02376_c0	0.0
rxn05759_c0	0.0
rxn08691_c0	0.0
rxn00145_c0	0.0
rxn00151_c0	0.0
rxn00161_c0	-999.9999999999976
rxn00227_c0	0.0
rxn00251_c0	980.1916527683987
rxn00330_c0	0.0
rxn00935_c0	901.9116636412834
rxn01103_c0	0.0
rxn01274_c0	0.0
rxn01834_c0	0.0
rxn00146_c0	0.0
rxn00011_c0	10.196901573070214
rxn00148_c0	936.8966339319534
rxn00175_c0	0.0
rxn00247_c0	0.0
rxn00459_c0	-35.811454435147944
rxn00506_c0	0.0
rxn00543_c0	0.0
rxn00549_c0	9.700412791909844
rxn00704_c0	-4.864417929007611
rxn00747_c0	-11.941470825398538
rxn00781_c0	-26.50443843597473
rxn00786_c0	-9.700412791909844
rxn01100_c0	26.504438435974734
rxn01106_c0	35.811454435147944
rxn01871_c0	0.0
rxn01977_c0	0.0
rxn02342_c0	0.0
rxn15694_c0	0.0
rxn14017_c0	0.0
rxn00604_c0	0.0
rxn00770_c0	5.0610013090186055
rxn00772_c0	0.0
rxn00777_c0	-4.184441638696376
rxn00778_c0	0.38607216294613006
rxn00785_c0	3.953978981037636
rxn01107_c0	0.0
rxn01115_c0	0.0
rxn01116_c0	-4.4444664884137355
rxn01187_c0	0.0
rxn01200_c0	0.4904875073760994
rxn01275_c0	0.0
rxn01333_c0	0.0
rxn01476_c0	0.0
rxn01987_c0	0.0
rxn05349_c0	0.0
rxn05465_c0	18.5445427843061
rxn05347_c0	0.0
rxn06672_c0	0.0
rxn06673_c0	0.0
rxn05329_c0	2.376126889618353
rxn05322_c0	2.376126889618353
rxn05339_c0	2.376126889618353
rxn05338_c0	2.3761268896183543
rxn05333_c0	2.376126889618354
rxn05341_c0	2.376126889618354
rxn05334_c0	2.3761268896183534
rxn05336_c0	2.338829531077738
rxn05332_c0	2.3201808518074287
rxn05342_c0	2.3761268896183543
rxn05335_c0	2.338829531077738
rxn05324_c0	2.376126889618354
rxn05345_c0	2.376126889618354
rxn05346_c0	2.376126889618353
rxn05337_c0	2.376126889618353
rxn05330_c0	2.376126889618353
rxn05326_c0	2.376126889618353
rxn05350_c0	2.376126889618354
rxn05325_c0	2.376126889618354
rxn05343_c0	2.3761268896183543
rxn05327_c0	2.376126889618354
rxn05348_c0	2.3761268896183543
rxn05340_c0	2.3761268896183543
rxn05331_c0	2.376126889618354
rxn05323_c0	2.3388295310777374
rxn05344_c0	2.338829531077738
rxn05328_c0	2.250575426253206
rxn07576_c0	1.9489519155182402
rxn07577_c0	1.94895191551824
rxn07578_c0	1.9489519155182402
rxn07579_c0	0.16241265962652005
rxn08766_c0	2.376126889618353
rxn05736_c0	0.0
rxn09449_c0	0.0
rxn00612_c0	998.4403507588551
rxn00539_c0	0.0
rxn00616_c0	-1000.0
rxn00758_c0	0.0
rxn05970_DA_c0	0.0
rxn01073_c0	0.0
rxn06043_DA_c0	0.0
rxn06045_DA_c0	0.0
rxn06080_DA_c0	0.0
rxn06081_DA_c0	0.0
rxn06090_DA_c0	0.0
rxn06091_DA_c0	0.0
rxn06376_DA_c0	0.0
rxn06971_DA_c0	0.0
rxnTX73L003_DA_c0	-2.0451852459351653e-17
rxn07455_DA_c0	0.0
rxnTX73L001_c0	0.0
rxnTX73L002_c0	0.0
rxn06044_DA_c0	0.0
rxn00124_c0	0.006729089709558943
rxn00208_c0	0.0
rxn00209_c0	0.0
rxn01249_c0	0.006729089709558943
rxn01251_c0	0.0
rxn01252_c0	0.0
rxn01331_c0	0.006729089709558942
rxn01396_c0	0.0
rxn01807_c0	0.0
rxn02939_c0	0.006729089709558941
rxn03445_c0	0.006729089709558941
rxn03446_c0	0.0
rxn03951_c0	0.006729089709558941
rxn04070_c0	0.006729089709558942
rxn05116_c0	0.006729089709558942
rxn00966_c0	0.0
rxn01182_c0	0.0
rxn11156_c0	-0.07855982871075116
rxn03393_c0	0.006729089709559838
rxn03394_c0	0.0
rxn03395_c0	0.006729089709559838
rxn03396_c0	0.0
rxn03397_c0	0.0
rxn11946_c0	0.0
rxn03893_c0	0.006729089709559839
rxn04139_c0	0.0
rxn04674_c0	0.0
rxn05287_c0	0.006729089709559838
rxn00262_c0	0.0
rxn00283_c0	0.0
rxn00183_c0	0.0
rxn00122_c0	0.006729089709691977
rxn00300_c0	0.013458179419250926
rxn00392_c0	0.006729089709691977
rxn02474_c0	0.013458179419250926
rxn02475_c0	0.013458179419250928
rxn03080_c0	0.026916358838501842
rxn05040_c0	0.02691635883850184
rxn05039_c0	0.013458179419250926
rxn00065_c0	0.0
rxn00097_c0	106.41261059009749
rxn00132_c0	0.0
rxn00137_c0	0.0
rxn00139_c0	0.3860721629461301
rxn00237_c0	3.078395719454788
rxn00239_c0	0.8959570456259559
rxn00242_c0	0.0
rxn00303_c0	0.0
rxn00304_c0	0.0
rxn00361_c0	0.0
rxn00379_c0	0.0
rxn00514_c0	0.0
rxn00515_c0	0.0
rxn00775_c0	0.0
rxn00790_c0	2.025921165008646
rxn00800_c0	2.2118058091104174
rxn00831_c0	0.0
rxn00832_c0	-3.1077628547363725
rxn00834_c0	0.8959570456259558
rxn00837_c0	0.0
rxn00838_c0	2.2118058091104174
rxn00839_c0	0.0
rxn00840_c0	-0.12782423160555695
rxn00913_c0	0.0
rxn00915_c0	0.0
rxn00917_c0	0.8959570456259559
rxn01127_c0	0.0
rxn01351_c0	0.0
rxn01353_c0	0.0
rxn01354_c0	-0.24382694689013668
rxn01445_c0	0.0
rxn05231_c0	0.12782423160555695
rxn05233_c0	0.24382694689013665
rxn01507_c0	0.0
rxn01509_c0	0.0
rxn01544_c0	0.0
rxn01961_c0	0.0
rxn01962_c0	0.0
rxn02517_c0	0.0
rxn02518_c0	0.0
rxn02895_c0	2.025921165008646
rxn02937_c0	2.025921165008646
rxn03004_c0	2.025921165008646
rxn03039_c0	0.0
rxn03084_c0	2.025921165008646
rxn03136_c0	2.019192075299087
rxn03137_c0	3.107762854736372
rxn03147_c0	2.019192075299087
rxn04132_c0	0.0
rxn04133_c0	0.0
rxn04457_c0	0.0
rxn05114_c0	2.019192075299087
rxn05115_c0	2.019192075299087
rxn00327_c0	0.0
rxn02938_c0	0.0
rxn04456_c0	0.0
rxn01446_c0	0.0
rxn01138_c0	0.3860721629461301
rxn00916_c0	0.0
rxn00313_c0	0.0
rxn01973_c0	0.1704154359919645
rxn01974_c0	0.17041543599196451
rxn02011_c0	0.1704154359919645
rxn02928_c0	93.16202036964285
rxn03012_c0	0.0
rxn03031_c0	0.1704154359919645
rxn03087_c0	-0.17041543599196451
rxn03164_c0	0.17041543599196451
rxn02929_c0	-92.99160493365088
rxn01644_c0	0.1704154359919645
rxn01302_c0	5.149824660453333
rxn05947_c0	78.44143728193383
rxn00856_c0	0.007273238007652097
rxn06061_c0	-0.007273238007652098
rxn02356_c0	0.0
rxn03070_c0	0.0
rxn31683_c0	0.0
rxn30330_c0	0.0
rxn15507_c0	0.0
rxn39478_c0	0.0
rxn15972_c0	0.0
rxn02373_c0	6.2854264092960275
rxn02374_c0	2.867640439931616
rxn00929_c0	81.30907772186545
rxn00394_c0	0.0
rxn00467_c0	3.417785969364412
rxn02297_c0	0.0
rxn02312_c0	0.0
rxn02277_c0	0.0
rxn05927_c0	0.0
rxn00792_c0	0.0
rxn06864_c0	0.0
rxn00272_c0	-7.273015497398422
rxn00416_c0	0.0
rxn01750_c0	0.0
rxn01675_c0	0.0
rxn01997_c0	0.0
rxn02000_c0	0.0
rxn02003_c0	0.0
rxn06280_c0	1.1652471801240163
rxn06300_c0	7.1093291511160155
rxn06432_c0	3.3745630889497917
rxn06433_c0	2.8760452111250303
rxn06435_c0	0.2614590390298993
rxn06436_c0	0.0
rxn06437_c0	2.9975294823272245
rxn06438_c0	5.4836650195434125
rxn06439_c0	1.0885707794372854
rxn06440_c0	2.253997233225402
rxn06441_c0	4.588509432651215
rxn06442_c0	3.371694710324185
rxn06443_c0	0.35387566742465054
rxn06444_c0	2.0451855965869803
rxn06445_c0	2.8676404399316158
rxn06446_c0	2.8121394226280447
rxn06447_c0	3.1902381257255628
rxn06448_c0	0.10338733299692703
rxn06449_c0	3.3349014271449793
rxn10534_c0	0.0
rxn06538_c0	0.0
rxn11595_c0	2.8760452111250308
rxn06936_c0	2.8760452111250303
rxn06937_c0	2.9975294823272236
rxn00211_c0	0.0
rxn00213_c0	0.307703207960095
rxn00214_c0	0.09324339635154397
rxn02596_c0	0.0
rxn00818_c0	0.0
rxn03838_c0	0.0
rxn02314_c0	0.0
rxn00817_c0	0.0
rxn01117_c0	-0.2331084908788599
rxn02166_c0	0.0
rxn03586_c0	0.0
rxn03869_c0	0.0
rxn03882_c0	0.0
rxn12009_c0	0.0
rxn00293_c0	0.6205610610385609
rxn00461_c0	0.17041543599196454
rxn02285_c0	-0.17041543599196454
rxn03638_c0	0.6205610610385609
rxn01485_c0	-0.6205610610385609
rxn00295_c0	0.0
rxn00255_c0	0.0
rxn00598_c0	0.0
rxn00962_c0	0.0
rxn02483_c0	0.0
rxn03097_c0	0.0
rxn02981_c0	0.0
rxn02980_c0	0.0
rxn07630_c0	0.0
rxn03089_c0	0.0
rxn01193_c0	0.0
rxn00964_c0	39.21708202196309
rxn00965_c0	0.0
rxn11651_c0	39.217082021963094
rxn01035_c0	0.0
rxn06167_c0	39.217082021963094
rxn03879_c0	39.217082021963094
rxn03864_c0	39.217082021963094
rxn03871_c0	39.217082021963094
rxn03622_c0	39.217082021963094
rxn03880_c0	39.217082021963094
rxn03617_c0	39.217082021963094
rxn03866_c0	39.217082021963094
rxn06938_c0	0.0
rxn16112_c0	39.217082021963094
rxn14227_c0	0.0
rxn02296_c0	0.0
rxn00957_c0	0.006729089709559272
rxn00588_c0	0.0
rxn00174_c0	0.0
rxn01791_c0	0.019493480048615577
rxn15641_c0	0.0
rxn00722_c0	0.0
rxn00160_c0	0.0
rxn01453_c0	37.9906392493229
rxn15455_c0	1.22644277264019
rxn00018_c0	0.0
rxn01111_c0	0.0
rxn01334_c0	-0.5930552433627979
rxn01345_c0	0.5930552433627979
rxn07189_c0	0.00672908970955927
rxn14159_c0	-34.2833720824435
rxnTX73PHO001_c0	18.3
rxnTX73PHO002_c0	18.3
rxn08173_c0	58.45847495011204
rxn01489_c0	0.04788547205258365
rxn02945_c0	0.04788547205258365
rxn05031_c0	0.0
rxn11620_c0	0.047885472052583665
rxn06790_c0	0.0
rxn06792_c0	0.0
rxn07350_c0	0.04435420269019076
rxn15684_c0	0.0026500865757908827
rxn07352_c0	0.002650086575790883
rxn07353_c0	0.002650086575790883
rxn15685_c0	0.002650086575790883
rxn07355_c0	0.002650086575790883
rxn07358_c0	0.0
rxn07359_c0	0.0
rxn07360_c0	0.0
rxn07363_c0	0.0
rxn39819_c0	0.0
rxn15686_c0	0.0
rxn07366_c0	0.0
rxn07367_c0	0.0
rxn07625_c0	0.02945888121556639
rxn07634_c0	0.028346329947178256
rxn16538_c0	0.04788547205258365
rxn16632_c0	-0.00027608144271470486
rxn06926_c0	0.0
rxn06790_LN_c0	0.047593045069906845
rxn06792_LN_c0	0.04729956353626475
rxn00423_c0	0.0
rxn00566_c0	2.0451852459351653e-17
rxn00647_c0	0.0
rxn00649_c0	0.0
rxn05733_c0	0.0
rxn04016_c0	0.0
rxn01757_c0	0.0
rxn00141_c0	0.38607216294613006
rxn00693_c0	0.09166146444849692
rxn00126_c0	0.4519035615057492
rxn00952_c0	2.0451852459351656e-17
rxn05957_c0	0.0
rxn01303_c0	0.0
rxn01304_c0	0.0
rxn06078_c0	-2.0451852459351653e-17
rxn03052_c0	0.0
rxn03057_c0	0.0
rxn00143_c0	0.0
rxn00849_c0	-0.34083087198392903
rxn00851_c0	0.17041543599196451
rxn02008_c0	0.17041543599196451
rxn02286_c0	0.17041543599196451
rxn00178_c0	-37.9906392493229
rxn00872_c0	0.0
rxn00874_c0	0.0
rxn00946_c0	0.0
rxn00947_c0	0.0
rxn01451_c0	0.0
rxn01802_c0	39.2170820219631
rxn02167_c0	-39.21708202196309
rxn02345_c0	39.217082021963094
rxn02679_c0	0.0
rxn02680_c0	0.0
rxn02720_c0	0.0
rxn06510_c0	0.0
rxn02803_c0	0.0
rxn02804_c0	0.0
rxn02911_c0	0.0
rxn03240_c0	0.0
rxn03241_c0	0.0
rxn03243_c0	0.0
rxn03245_c0	0.0
rxn03247_c0	0.0
rxn03248_c0	0.0
rxn03249_c0	0.0
rxn03250_c0	0.0
rxn03251_c0	0.0
rxn03253_c0	0.0
rxn03239_c0	0.0
rxn06777_c0	0.0
rxn03242_c0	0.0
rxn03244_c0	0.0
rxn03246_c0	0.0
rxn00299_c0	0.026916358838235857
rxn00302_c0	0.0
rxn03419_c0	0.0
rxn03421_c0	0.0
rxn03174_c0	0.0
rxn03167_c0	0.026916358838235857
rxn02504_c0	0.026916358838235864
rxn02503_c0	0.0
rxn02201_c0	0.0
rxn01603_c0	0.02691635883823587
rxn02200_c0	0.026916358838235867
rxn00689_c0	0.0
rxn01257_c0	0.02691635883823587
rxn03841_c0	0.026916358838235867
rxn00686_c0	-66.07409212645823
rxn01602_c0	-65.91576711728338
rxn00687_c0	65.91576711728338
rxn00559_c0	-0.21445981160855118
rxn00641_c0	0.21445981160855115
rxn01329_c0	0.21445981160855118
rxn01492_c0	0.0
rxn01870_c0	0.0
rxn06201_c0	0.0
rxn06348_c0	0.0
rxn07876_c0	0.0
rxn07885_c0	0.0
rxn07877_c0	0.0
rxn07878_c0	0.0
rxn02497_c0	0.0
rxn02496_c0	0.0
rxn07879_c0	0.0
rxn07880_c0	0.0
rxn07881_c0	0.0
rxn07882_c0	0.0
rxn07883_c0	0.0
rxn07884_c0	0.0
rxn35926_c0	0.0
rxn36169_c0	0.0
rxn00085_c0	-2.269248015174547
rxn00187_c0	0.0
rxn00189_c0	47.2293383029655
rxn00193_c0	0.5112463079758934
rxn00260_c0	-20.161708078740542
rxn00509_c0	0.0
rxn00555_c0	0.6392097403088697
rxn01204_c0	0.0
rxn00194_c0	0.0
rxn00086_c0	0.0
rxn00350_c0	0.0
rxn00351_c0	0.006729089709558946
rxn00646_c0	0.006729089709558946
rxn00650_c0	0.0
rxn04792_c0	0.0
rxn00615_c0	0.0
rxn00743_c0	0.0
rxn00763_c0	0.0
rxn01286_c0	0.0
rxn06139_DA_c0	2.0451852459351653e-17
rxn04027_c0	-2.0451852459351656e-17
rxn07172_DA_c0	-2.0451852459351653e-17
rxn06139_LN_c0	0.0
rxn07172_LN_c0	0.0
rxn00337_c0	5.327513334452951
rxn00420_c0	9.307015999173213
rxn00599_c0	0.26332559423847474
rxn01300_c0	5.149824660453333
rxn01069_c0	5.149824660453333
rxn00737_c0	1.9595865347277688
rxn01101_c0	9.307015999173213
rxn02914_c0	-9.307015999173215
rxn15167_c0	0.29441069849763324
rxn30633_c0	0.2944106984976332
rxn00692_c0	-5.39643488370741
rxn00274_c0	0.0
rxn00275_c0	-9.656221482191103
rxn06377_c0	0.0
rxn06600_c0	0.0
rxn10770_c0	0.0
rxn01013_c0	0.0
rxn01405_c0	0.0
rxn01643_c0	-5.32751333445295
rxn01867_c0	0.0
rxn01868_c0	0.0
rxn04786_c0	0.007273238007652098
rxn07465_c0	0.007273238007652099
rxn05735_c0	0.0
